employee_id,name,age,department,salary,experience_years
67,Ines Bernard,20.0,Legal,4921.88,2
68,Yara Lefebvre,,it,4377.72,2
69,Pablo Mercier,55.0, HR,5711.82,18
70,Tom Petit,38.0,Finance,6872.99,11
71,Maya Dubois,56.0,HR  ,4867.54,14
72,Tom Petit,41.0,IT,5449.79,7
73,Noah Vincent,46.0,Hr,5576.04,17
74,Farid Fournier,58.0,Sales  ,6451.75,17
75,Sara Laurent,34.0,Operations,5088.35,10
76,Sara Andre,40.0,R&D,8384.98,17
77,Katia Laurent,54.0,Sales,7846.51,22
78,Rita Moreau,,Legal,8342.23,16
79,Wassim Moreau,61.0,Sales  ,6033.45,14
80,Rita Michel,63.0,OPERATIONS,6123.57,15
81,David Morel,31.0, Finance,6707.53,9
82,Tom Simon,31.0,hr,4691.97,8
83,Ines Durand,54.0,IT,7555.4,13
84,Alice Girard,49.0,Sales,5636.51,11
85,David Bernard,50.0, R&D,8709.74,18
86,Jamal Bernard,26.0, Marketing,4128.94,4
87,Maya Roux,38.0, Legal,7958.85,16
88,Xia Petit,59.0,Marketing,6747.77,17
89,Farid Martin,47.0,R&D,6766.22,12
90,Wassim Roux,62.0,hr,5913.91,17
91,Noah Petit,33.0,support,3075.11,5
92,Ziad Simon,47.0, Sales,6922.75,16
93,Rita Vincent,24.0,Legal,4396.25,1
94,Claire Moreau,62.0, IT,7825.8,19
95,Ugo Roux,30.0,Sales,5593.84,11
96,Liam Bertrand,39.0,OPERATIONS,4340.58,8
97,Val David,21.0,Support,3433.01,3
98,Qi Martin,48.0,Support  ,4540.26,12
99,Omar Durand,36.0,Marketing,3870.73,3
100,Alice Lefebvre,64.0,Marketing,7118.39,20
101,Omar Petit,50.0,Finance,7877.65,16
102,Pablo Moreau,54.0,legal,8813.89,16
103,Claire Laurent,40.0,R&D,7416.6,14
104,Sara Girard,28.0,Legal,5653.79,4
105,Omar Michel,63.0,MARKETING,6774.08,18
106,Xia Vincent,43.0,R&D,8241.31,17
107,Emma Fournier,25.0,Operations  ,4460.3,7
108,Emma Bertrand,23.0,Finance  ,4450.8,0
109,Claire Michel,43.0, Support,4800.3,16
110,Bob Andre,34.0,Hr,3503.99,5
111,David Lefebvre,,HR,5478.96,14
112,Jamal Garcia,46.0,operations,6342.58,15
113,Farid Bernard,58.0,R&D  ,7478.58,15
114,Ines Roux,61.0,sales,7831.99,22
115,Claire Roux,56.0,OPERATIONS,6441.01,13
116,Giulia David,25.0,LEGAL,6709.53,7
117,Alice Mercier,36.0, R&D,8070.54,16
118,Xia Vincent,33.0,Sales  ,4625.77,7
119,Yara Mercier,59.0,Finance,9141.68,20
120,Sara Garcia,24.0, Finance,5536.49,6
121,Liam Fournier,36.0,SUPPORT,4117.71,11
122,Xia Michel,48.0,HR  ,5361.82,15
123,Val David,42.0,SUPPORT,4841.52,14
124,Val Mercier,56.0,Sales,6090.96,12
125,Alice Andre,39.0,Support  ,4332.26,12
126,Jamal Lefebvre,26.0,R&D,6678.31,8
127,Hugo Morel,43.0,Finance,6268.37,8
128,Sara Robert,60.0,R&D,8962.7,19
129,Wassim Garcia,47.0,MARKETING,5434.98,11
130,Rita Lefebvre,22.0,Operations,4296.24,4
131,Claire Mercier,60.0,marketing,4906.24,12
132,Ziad Girard,23.0,marketing,4065.62,5
133,Katia Robert,36.0,it,6289.7,11
134,David Mercier,27.0,it,6029.41,9
135,Ines Durand,45.0, Finance,5829.0,7
136,Sara Petit,51.0,Legal  ,8807.96,15
137,Qi Simon,60.0,Legal  ,9156.18,18
138,David Vincent,23.0, Legal,5643.53,5
139,Ugo Girard,64.0, Support,5423.7,13
140,Noah Petit,60.0,Hr,4842.8,14
141,Hugo Bertrand,48.0,OPERATIONS,5318.32,9
142,Liam Robert,23.0,LEGAL,5868.73,5
143,Ziad Robert,22.0,SUPPORT,3040.84,2
144,Val Bertrand,37.0,IT  ,5595.26,8
145,Pablo Moreau,41.0,Hr,4882.86,13
146,Rita Andre,20.0,SUPPORT,,2
147,Wassim Simon,41.0,operations,6413.24,17
148,Xia Lefebvre,24.0,IT,5111.25,6
149,Jamal Michel,22.0,Hr,4276.84,4
150,Val Bertrand,57.0,Legal,8225.35,14
151,David Simon,52.0,Legal,8060.65,14
152,Giulia Simon,27.0,Marketing,4472.97,7
153,Farid Robert,53.0,R&D,7221.51,14
154,Maya Durand,20.0,R&d,4710.22,2
155,Wassim Lefebvre,37.0, R&D,6880.78,11
156,Omar Garcia,46.0,Hr,5074.31,14
157,Jamal Michel,40.0,marketing,5242.41,11
158,Yara Garcia,60.0, Operations,6357.87,18
159,Emma Lefebvre,30.0, HR,4852.9,12
160,Omar Mercier,59.0,OPERATIONS,6345.46,15
161,Sara Durand,51.0,OPERATIONS,6540.08,17
162,Claire Lefebvre,58.0,HR  ,5095.29,14
163,Bob Roux,39.0,MARKETING,4663.07,8
164,Wassim Bernard,60.0, Support,5360.09,18
165,Tom Richard,42.0,Operations,5733.55,14
166,Ziad Lefebvre,23.0,Operations  ,4516.28,4
167,Tom Robert,24.0,Operations  ,4267.7,5
168,Val David,57.0,FINANCE,7627.97,15
169,Emma Mercier,24.0,support,3230.01,4
170,Giulia Michel,31.0,Legal,7001.45,9
171,Qi Morel,21.0,support,2718.1,2
172,Farid Richard,47.0, Finance,8057.41,16
173,Jamal Roux,53.0,marketing,6777.0,15
174,Liam Mercier,48.0,legal,7623.29,14
175,Giulia Andre,35.0,Finance  ,7400.57,13
176,Qi Petit,24.0,Sales,4361.36,6
177,Claire Moreau,41.0,Legal,8008.59,14
178,Claire Garcia,20.0,marketing,4044.48,2
179,Emma Durand,49.0,Sales,5845.33,13
180,Claire Martin,32.0,Sales,5274.17,11
181,Yara Simon,38.0,Marketing,5673.44,12
182,David Vincent,20.0,Support,2950.62,2
183,Tom Garcia,55.0,Marketing,5581.89,11
184,Qi Morel,51.0,SUPPORT,4220.38,11
185,Ines Martin,23.0,Operations  ,4413.54,3
186,Yara Michel,21.0,Finance  ,5208.33,3
187,Omar Vincent,27.0,Finance,6570.45,9
188,Ziad Dubois,39.0,IT,6933.21,14
189,Bob Lefebvre,37.0,Marketing,5129.02,7
190,Ziad Garcia,44.0,R&d,6444.12,12
191,Wassim Vincent,52.0,operations,6003.89,14
192,Rita Simon,25.0,Operations,4902.73,7
193,Farid Roux,47.0,OPERATIONS,6889.39,19
194,Ugo Durand,61.0,HR,5183.22,15
195,Emma Andre,21.0, Legal,5436.85,3
196,Bob Andre,62.0,finance,7609.4,14
197,Qi Garcia,39.0,R&d,6176.44,9
198,Qi David,26.0,SUPPORT,4072.32,7
199,Wassim Vincent,26.0,Marketing,4968.63,8
200,Ziad Mercier,61.0,operations,6309.97,16
201,Wassim Lefebvre,42.0,Finance,6591.61,10
202,Alice Garcia,55.0,Support,4837.13,12
203,Claire Simon,64.0,R&D,7920.57,17
204,Emma Michel,47.0, HR,4637.14,9
205,Ugo Girard,27.0,finance,4800.92,1
206,Jamal Richard,39.0,FINANCE,7204.51,13
207,Claire Laurent,59.0,Marketing,6574.92,19
208,Qi Lefebvre,56.0, Finance,8147.72,17
209,Katia Girard,20.0,it,4796.98,2
210,Yara Girard,58.0,R&D,7290.04,14
211,Pablo Moreau,38.0,R&d,5771.87,6
212,Giulia Michel,39.0,Finance,6858.83,12
213,Emma Garcia,54.0,support,5178.1,17
214,David Durand,43.0,SALES,5964.73,14
215,Sara Michel,29.0,Marketing,4243.93,4
216,Claire David,48.0,Support,4756.61,15
217,Tom Lefebvre,37.0,Legal  ,5407.13,4
218,Liam David,21.0,Operations,4068.03,2
219,Maya Fournier,54.0,Legal,8766.13,13
220,Maya Garcia,54.0, Operations,6711.7,20
221,Bob Durand,27.0, IT,4792.53,6
222,Emma Michel,29.0, Operations,4608.77,5
223,Qi Morel,,Legal,8268.85,15
224,Noah Girard,63.0, Sales,6106.49,15
225,Sara Moreau,56.0,It,6684.81,12
226,Emma Mercier,21.0,Marketing,3554.86,1
227,Emma Bertrand,45.0,Marketing  ,4875.28,8
228,Bob Robert,32.0,support,2603.17,0
229,Omar Morel,53.0,Operations  ,5779.02,11
230,Ines Andre,31.0,LEGAL,7295.73,11
231,Yara Simon,63.0,Marketing  ,6068.42,17
232,Ines Simon,55.0,hr,4997.43,14
233,Jamal Durand,64.0,sales,8524.47,24
234,Giulia Morel,54.0,sales,6046.21,14
235,Bob Mercier,33.0,Support,3884.91,8
236,Val Robert,54.0,It,7715.66,17
237,Pablo Lefebvre,37.0, Marketing,5269.78,8
238,Hugo Morel,30.0,It,4942.2,3
239,Ziad Vincent,37.0,FINANCE,6571.37,10
240,Jamal Roux,52.0,support,3867.1,7
241,Ziad Petit,29.0,OPERATIONS,,7
242,Ziad Simon,30.0,MARKETING,4125.15,5
243,Claire David,30.0,Hr,,11
244,Hugo Roux,,Sales  ,5655.25,9
245,Hugo Durand,48.0,HR  ,5266.63,12
246,Yara Simon,59.0,hr,5833.84,19
247,Pablo Robert,57.0,Legal  ,8212.9,13
248,Giulia Moreau,52.0,HR,4853.67,10
249,Rita Fournier,55.0,Marketing  ,5638.93,13
250,Giulia Girard,24.0,Legal,5866.67,6
251,Omar Girard,54.0,IT,6327.42,10
252,Xia Dubois,21.0,HR,3654.85,1
253,Pablo Durand,45.0,Sales,6146.43,13
254,Liam David,43.0,Legal  ,7160.13,9
255,Liam Petit,53.0,Finance,7387.47,13
256,Jamal Roux,46.0,SUPPORT,3728.67,7
257,Giulia Petit,61.0,it,,12
258,Claire Petit,47.0,It,5710.41,9
259,Omar Moreau,32.0,support,3561.21,9
260,Xia Girard,55.0,operations,5281.28,12
261,Val Fournier,45.0,marketing,5621.09,12
262,Ugo Mercier,54.0, R&D,5902.1,7
263,Katia Bertrand,28.0,r&d,6061.93,7
264,Jamal Robert,22.0,legal,4199.59,0
265,Ines Dubois,60.0,operations,7056.3,20
266,Bob Laurent,62.0, R&D,8227.78,17
267,Xia Mercier,32.0,Support,3438.16,3
268,Giulia Dubois,49.0,hr,5443.06,17
269,Rita Michel,43.0,Sales,5091.33,8
270,Omar Petit,39.0,legal,7731.98,13
271,Xia Robert,35.0,it,5189.38,6
272,Katia Moreau,55.0,R&D,7974.44,17
273,Yara Vincent,48.0,Legal,9125.13,16
274,Farid Morel,52.0,IT,8522.55,20
275,Noah Robert,23.0, Marketing,4360.81,5
276,Ugo Mercier,61.0, Legal,,17
277,Xia Laurent,37.0,support,4979.07,16
278,David Petit,28.0,Support,4376.54,8
279,Claire Garcia,48.0,R&D,5037.48,5
280,Ugo Lefebvre,24.0,IT  ,5043.67,4
281,Farid Bernard,46.0, Legal,7147.45,11
282,Bob Moreau,63.0,MARKETING,6578.75,20
283,Rita Girard,30.0,IT  ,6087.17,10
284,Maya Bernard,29.0, Sales,4048.24,4
285,Katia David,63.0,Finance,7861.02,17
286,Hugo Bernard,57.0,Operations,5648.57,17
287,Ugo Laurent,50.0, Legal,8517.14,14
288,Val David,58.0,Hr,5616.57,15
289,Wassim Lefebvre,,FINANCE,6960.09,11
290,Yara Laurent,27.0,HR,4726.11,9
291,Alice Bernard,54.0,OPERATIONS,6783.57,18
292,Noah David,54.0,Hr,5914.53,22
293,Farid Robert,38.0,SALES,5567.38,10
294,Pablo Bernard,35.0,Operations,5715.45,14
295,David Robert,19.0,SALES,3514.8,1
296,Omar Michel,60.0,r&d,8493.83,18
297,Pablo Michel,44.0, Finance,7701.38,15
298,Ziad Moreau,43.0,operations,5887.18,11
299,Sara Morel,62.0,finance,8140.35,17
300,Omar Simon,45.0,hr,4834.62,12
301,Wassim Bertrand,23.0,R&D  ,4807.4,2
302,Noah Morel,42.0,IT,5676.4,10
303,Yara Moreau,29.0,Operations,4617.95,7
304,Yara Michel,25.0, R&D,5895.37,7
305,Wassim Girard,47.0,marketing,5597.88,11
306,Liam Martin,25.0,Legal  ,6447.86,5
307,Emma Garcia,40.0,Sales,5256.57,9
308,Xia Roux,23.0,Operations  ,4699.86,4
309,David Mercier,34.0,Finance,5411.86,5
310,Hugo David,,finance,5433.48,6
311,Omar Girard,43.0,R&D,7565.83,14
312,Sara Petit,30.0,Support,3988.44,7
313,Qi Lefebvre,57.0,Operations,5902.9,13
314,Tom Richard,58.0,Sales,5559.54,12
315,Farid Garcia,51.0,Finance,7090.6,11
316,Ugo Morel,54.0, Finance,8194.67,16
317,Bob Garcia,50.0,It,8157.04,17
318,Noah Mercier,45.0,legal,7305.16,12
319,Jamal Durand,33.0,Sales,4757.37,7
320,Rita Fournier,55.0,HR,6300.79,19
321,Yara Roux,32.0,SUPPORT,4191.05,10
322,Bob Roux,41.0,sales,5702.52,12
323,Giulia Girard,64.0,operations,5847.42,15
324,Ziad Durand,53.0,OPERATIONS,6246.12,14
325,Sara Laurent,62.0,Support,5011.44,18
326,Ines Lefebvre,63.0,Finance  ,8500.46,19
327,Maya Vincent,55.0,Finance,6748.21,12
328,Maya Fournier,63.0,Sales,7287.87,20
329,Yara Bernard,59.0,legal,8157.58,15
330,Noah Dubois,36.0,Legal,7059.78,9
331,Ziad Michel,21.0,it,4967.52,3
332,Omar Roux,46.0,it,7517.84,14
333,Ines Bernard,35.0,Operations  ,5929.49,13
334,Jamal Moreau,60.0, R&D,8592.75,18
335,Hugo Fournier,19.0,Legal  ,4773.94,1
336,Emma Vincent,33.0,HR,4325.79,5
337,Emma David,60.0,Finance  ,,18
338,Farid Roux,32.0,operations,4566.13,7
339,Claire Petit,26.0,finance,5062.42,4
340,Hugo Laurent,34.0,HR  ,3866.29,5
341,Alice Mercier,32.0,Sales,4360.15,5
342,Ziad Moreau,43.0,Legal,8369.67,14
343,Liam Michel,43.0,Finance,7221.62,14
344,Yara Bernard,56.0,It,8056.32,18
345,Qi Simon,45.0,support,4340.6,10
346,Ines Bernard,24.0,Sales,4185.65,4
347,Sara Lefebvre,38.0,HR,4099.58,9
348,Noah Petit,58.0,Legal,7976.96,14
349,Alice Robert,29.0,IT,5106.24,5
350,Farid Garcia,36.0,Finance,6450.49,10
351,Ines Fournier,35.0,HR,4177.62,9
352,Bob Vincent,42.0,Finance,7951.67,14
353,Hugo Fournier,21.0,it,4623.4,3
354,Farid Durand,64.0,Support  ,4847.72,18
355,Katia Laurent,55.0, HR,5373.93,13
356,Bob David,48.0,Hr,5294.39,17
357,Alice Garcia,37.0, Marketing,4780.34,8
358,Pablo Dubois,,Support  ,5124.83,13
359,Wassim Martin,19.0,operations,3378.97,1
360,Qi Moreau,50.0,R&D,9285.74,22
361,Hugo Fournier,63.0, R&D,8797.31,20
362,Emma Lefebvre,23.0,R&D,5341.27,5
363,Ines Michel,63.0,r&d,8527.92,19
364,Emma Girard,28.0,HR,4901.99,10
365,Yara Dubois,38.0,LEGAL,5933.98,5
366,Wassim Andre,32.0,IT,5970.65,10
367,Maya Fournier,62.0,It,8049.7,16
368,Rita Morel,25.0,marketing,,1
369,Emma Dubois,42.0,R&D,5709.27,9
370,Alice Bernard,60.0,MARKETING,6054.82,15
371,David Durand,22.0,Legal,5880.97,4
372,Maya Mercier,30.0,r&d,5680.84,4
373,Bob Andre,60.0,MARKETING,6456.83,16
374,Maya Robert,31.0, R&D,4981.44,5
375,Ziad Martin,64.0, R&D,8091.23,15
376,Katia David,,SALES,5865.95,12
377,Bob Vincent,41.0,Support  ,3258.82,12
378,Hugo Laurent,22.0,Support,2753.81,4
379,Liam Richard,34.0,Finance,5151.56,5
380,Wassim Garcia,55.0, Finance,8947.95,21
381,Jamal Richard,21.0,Legal,5397.28,3
382,Katia Andre,27.0,Marketing,4717.85,6
383,Alice Robert,26.0,Finance  ,5650.51,8
384,Maya Girard,40.0,HR  ,4853.98,10
385,Pablo Lefebvre,30.0,OPERATIONS,4318.4,7
386,Hugo Mercier,43.0,Finance  ,7029.3,10
387,Sara David,30.0, IT,4254.49,3
388,David Vincent,40.0,Finance,6608.91,11
389,Wassim Mercier,47.0,Operations,6064.72,15
390,Xia Martin,43.0,It,6098.45,9
391,Liam Morel,25.0,r&d,5414.54,7
392,Farid Roux,21.0,hr,3972.44,3
393,Maya Richard,54.0,Hr,6223.7,23
394,Wassim Martin,60.0,r&d,9542.27,20
395,Giulia Bertrand,53.0, Support,4922.83,14
396,Rita Vincent,22.0, Finance,5463.12,4
397,Pablo Dubois,20.0,HR,3992.23,2
398,Jamal David,50.0,LEGAL,8515.57,16
399,Maya Garcia,47.0, Finance,8069.35,16
400,Bob Robert,24.0,hr,3385.36,4
401,Rita Durand,52.0,r&d,7021.77,11
402,Pablo Simon,44.0, HR,5267.62,16
403,Val Andre,26.0,finance,6037.32,8
404,Ziad Dubois,21.0,Finance  ,4714.27,0
405,Emma Andre,39.0,Sales,6246.62,16
406,Rita Michel,52.0, Sales,5158.53,8
407,Ziad Bertrand,45.0,HR,5713.33,15
408,David Girard,37.0,HR  ,4802.89,14
409,Pablo Girard,21.0,Legal,5549.02,3
410,Bob David,63.0,Operations,7054.98,18
411,Katia Simon,36.0,sales,5505.08,13
412,Emma Simon,39.0,legal,7409.22,10
413,Noah Vincent,42.0, Support,4234.31,13
414,Maya Robert,55.0,support,5075.51,17
415,Bob Roux,42.0,IT  ,6189.62,11
416,David Mercier,34.0, IT,5609.34,6
417,Rita Garcia,29.0,Operations,4832.21,9
418,Maya Durand,55.0,finance,7775.28,16
419,Ines Lefebvre,51.0,r&d,,19
420,Ugo Richard,33.0,IT  ,6522.47,9
421,Ines Bertrand,41.0, R&D,6413.63,9
422,Maya Girard,19.0,HR  ,3408.05,1
423,Tom Andre,38.0,SALES,4884.83,9
424,Ines Laurent,31.0, Sales,6013.21,11
425,Maya Mercier,62.0,Operations,6612.47,18
426,Maya David,56.0,it,6702.63,14
427,Val Morel,61.0, Legal,8596.83,15
428,Farid Simon,49.0,hr,5567.13,15
429,Val Michel,33.0,HR,4530.89,6
430,Liam Laurent,48.0, Sales,6127.82,15
431,Claire Vincent,51.0,marketing,6629.93,17
432,Emma Dubois,45.0,Operations  ,6679.03,19
433,Farid Bernard,40.0,LEGAL,,10
434,Giulia Richard,50.0,Finance,7240.86,15
435,Maya Bertrand,43.0,LEGAL,8410.87,15
436,Yara Fournier,20.0,MARKETING,3542.68,2
437,Jamal Robert,43.0,HR,4554.62,9
438,Omar Fournier,40.0,Support,4025.05,7
439,Liam Dubois,44.0,Finance,7545.63,14
440,Sara Fournier,26.0,FINANCE,5543.42,4
441,Yara Morel,57.0,IT  ,,20
442,David Bertrand,43.0,Legal  ,8040.49,13
443,Ugo Martin,45.0,sales,5024.21,10
444,Noah Petit,58.0,support,5139.51,17
445,Yara Laurent,31.0,support,3959.91,6
446,Wassim Vincent,34.0,Operations  ,5887.7,14
447,Pablo Robert,51.0,Hr,6038.54,18
448,Jamal Laurent,22.0,Legal  ,5649.09,4
449,Katia Bertrand,,HR  ,3772.67,7
450,Farid Michel,47.0,OPERATIONS,5983.97,15
451,Farid Petit,44.0,R&d,7503.94,14
452,Ugo Richard,27.0,Hr,4181.61,7
453,Sara Vincent,30.0,Legal  ,5204.32,4
454,Emma Vincent,26.0,Legal,6370.11,8
455,Wassim Mercier,55.0, Support,4589.25,15
456,Qi Andre,46.0,Hr,4647.2,11
457,Emma Morel,19.0,it,4082.58,1
458,Claire Vincent,34.0,Operations,5071.6,8
459,Maya Moreau,48.0,HR,4834.46,10
460,David Vincent,25.0, IT,5366.21,6
461,Tom Lefebvre,51.0,Sales,5233.03,10
462,Hugo Roux,54.0,Operations,5646.34,15
463,David Petit,19.0, Marketing,4234.15,1
464,Liam Petit,29.0,IT,4466.52,2
465,Tom Dubois,26.0,Marketing  ,4752.76,8
466,Katia Petit,21.0,R&d,4665.6,3
467,Omar Mercier,27.0,Support,3833.7,7
468,Sara Vincent,30.0,Support  ,3666.95,7
469,Tom Andre,51.0,operations,6008.1,16
470,Ines David,37.0,Operations  ,5076.87,9
471,Qi Simon,39.0, Support,3397.61,9
472,Wassim Simon,62.0, Operations,7249.67,20
473,Wassim Lefebvre,64.0,Operations  ,7085.42,20
474,Wassim Bertrand,,Support,4221.23,12
475,Emma Durand,31.0,it,6283.44,8
476,Bob Simon,53.0,Marketing  ,6910.93,20
477,Rita Moreau,43.0,Support  ,4963.86,12
478,Bob David,45.0,R&D,8780.05,20
479,Xia Laurent,58.0,Marketing  ,6363.06,20
480,Wassim Lefebvre,56.0,OPERATIONS,5422.2,12
481,Omar Richard,30.0,HR,4865.78,12
482,Rita Laurent,29.0,finance,5564.08,6
483,Bob Robert,57.0,Operations,7458.74,22
484,Ziad Girard,41.0, Support,5008.01,15
485,Claire Fournier,45.0,Finance  ,6288.47,9
486,Katia Michel,37.0,Operations  ,5861.63,11
487,Alice Petit,47.0,Operations,6139.36,13
488,Val Michel,26.0,R&D,5405.78,4
489,Qi Fournier,50.0,Legal,9874.5,20
490,Farid Morel,19.0,Support  ,2972.28,1
491,Noah Petit,53.0,Marketing,5937.77,18
492,Xia Mercier,20.0,FINANCE,4828.25,2
493,Rita Bernard,35.0,Marketing,4900.18,7
494,Val Petit,19.0,Support  ,2796.8,1
495,Claire Garcia,25.0,Support,4162.32,6
496,Maya David,49.0, IT,7475.83,15
497,Jamal Lefebvre,38.0,FINANCE,5313.37,7
498,Alice Morel,28.0,Support,3981.07,8
499,Jamal Dubois,32.0,operations,4575.52,5
500,Tom Laurent,26.0, Marketing,5368.69,8
501,Omar Lefebvre,23.0,Support,3708.41,5
502,Katia Garcia,61.0,FINANCE,7865.84,16
503,Pablo Roux,58.0,OPERATIONS,5491.38,14
504,Noah Richard,39.0,IT,6632.25,11
505,Emma Mercier,49.0,operations,5435.42,11
506,Ugo Andre,36.0,HR  ,4712.2,11
507,Claire Bernard,51.0,it,5795.94,10
508,Bob Morel,53.0,Sales,6769.08,18
509,Hugo Girard,27.0,Sales  ,4278.87,4
510,Hugo Andre,51.0,finance,7886.4,15
511,Xia Vincent,21.0,Operations,4350.31,3
512,Val Dubois,42.0,Support  ,4153.75,6
513,Katia Petit,59.0,support,4780.45,19
514,Maya Lefebvre,42.0,r&d,5304.29,6
515,Qi David,41.0,operations,4888.38,8
516,Omar Richard,23.0, Marketing,4217.78,4
517,Wassim Petit,45.0,marketing,5396.09,14
518,Sara Richard,20.0, R&D,4836.82,2
519,Bob Girard,22.0, Finance,5806.81,4
520,Ugo Martin,24.0,sales,5000.75,6
521,Noah Andre,56.0,Finance  ,7808.23,16
522,Val Michel,57.0,legal,8023.15,14
523,Qi Fournier,28.0, R&D,5524.6,6
524,Qi Petit,49.0,HR  ,,10
525,Ugo Bertrand,45.0,Support,4505.03,12
526,Ziad David,56.0,Operations,5943.07,18
527,Emma Laurent,33.0,LEGAL,7032.8,10
528,Giulia Martin,55.0,IT,6588.71,12
529,Noah Garcia,28.0, HR,4038.33,4
530,Liam Andre,62.0,sales,6721.62,16
531,Liam Morel,49.0,Support  ,4816.68,13
532,Emma Mercier,33.0,Hr,4153.15,5
533,Ziad Michel,58.0,Support,4355.83,15
534,Ziad Bernard,49.0,Finance,7835.93,16
535,Tom Durand,44.0,r&d,6121.07,9
536,Ugo Vincent,19.0,Legal,5178.75,1
537,Ziad Andre,52.0,Support  ,4166.95,13
538,Alice Richard,36.0, HR,4424.84,10
539,Alice Bernard,54.0,HR,5811.33,14
540,Hugo Andre,48.0,Marketing,6152.28,17
541,Rita Bernard,37.0, Support,4206.38,9
542,Ziad Girard,63.0,SALES,6502.72,15
543,Yara Roux,56.0,legal,8917.69,18
544,Val Moreau,,operations,6120.07,16
545,Jamal Bernard,62.0,R&D,8005.53,17
546,Liam Dubois,30.0,sales,5651.65,12
547,Hugo Moreau,32.0,Sales,5764.59,9
548,David Bernard,58.0,LEGAL,10244.62,22
549,Tom Michel,55.0,LEGAL,8924.08,18
550,Maya Moreau,22.0,FINANCE,4939.33,3
551,Maya Mercier,48.0,Finance,8371.7,18
552,Val Dubois,56.0,R&D,8688.14,18
553,Hugo Laurent,58.0,LEGAL,8559.47,15
554,Liam David,47.0,Sales,6343.88,14
555,Xia Laurent,54.0,marketing,5641.37,12
556,Pablo Martin,45.0,Finance  ,4762.5,2
557,Katia Vincent,35.0,Sales,4452.1,6
558,Giulia Laurent,59.0, Legal,9981.95,20
559,Ziad Laurent,20.0, Operations,3986.88,2
560,Sara Lefebvre,30.0,Support  ,4288.27,11
561,Omar Bernard,58.0,R&D,8212.91,15
562,Noah Lefebvre,23.0,R&D  ,5531.27,5
563,Ines Andre,36.0, R&D,7220.93,14
564,Omar Bertrand,30.0,Finance  ,6247.01,9
